organization,activity_id,activity_type,sample_media,sample_date,site_id,site_name,latitude,longitude,pfas_compound,detection_condition,result_value,result_unit,result_status,analytical_method,reporting_limit_type,reporting_limit,reporting_limit_unit,provider,result_value_numeric
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoro-1-nonanesulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoro(2-ethoxyethane)sulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,3.5,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,N-methyl perfluorooctanesulfonamidoacetic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoro-3-methoxypropanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,3.5,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorotridecanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,9-Chlorohexadecafluoro-3-oxanone-1-sulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,3:3 Fluorotelomer carboxylic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,8.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoro(4-methoxybutanoic) acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,3.5,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorododecanesulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
